Token,Item Name,Variation Name,Reporting Category,Description,SKU,Price
,Medicine Ball Hot Tea,Regular,★ Most Popular,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,10.36
,Horchata,Regular,Lit Teas,"Vanilla protein, collagen, energizing tea, fat burner and cinnamon all blended together to make a healthy horchata",,15.00
,Olaf Lit Tea with Fat Reducer,Regular,Lit Teas,"blue blast and blue raspberry flavoring, B1 B6 B12 Vitamin C tablet, lemon tea, aloe for digestion, and prolessa",,14.50
,Peaches and Cream,Regular,Lit Teas,"peach mango beverage mix, collagen, lemon tea, aloe for digestion, and prolessa",,14.50
,Peach Mamacita,Regular,Lit Teas,"Four scoops peach beverage mix, lime flavoring, one scoop of tea, aloe, cucumbers, Chamoy, tajin",,9.68
,Chai Tea 15g Protein,Regular,Lit Teas,chai tea and vanilla protein base blended together to make a hot chai,,6.18
,Lemon Tea with Aloe Hot,Regular,Lit Teas,,,6.18
,Hot Chai with Aloe,Regular,Lit Teas,"Aloe for digestion, Chai tea",,6.18
,Daily Detox,Regular,★ Most Popular,,,10.55
,Detox tea- HOT,Regular,Lit Teas,"fiber, aloe for digestion, lemon tea, probiotic, and a B1 B6 B12 Vitamin C tablet",,8.75
,Blackberry Detox,Regular,Lit Teas,"3g Fiber, 1 billion probiotics, lift off, tea, Aloe",,10.55
,Chai tea aloe infused,Regular,Lit Teas,,,6.18
,Ginger infused with Aloe,Regular,Lit Teas,Ginger herbal tea and Mango aloe,,6.18
,Bobby,Regular,Lit Teas,"15 gram of protein, Pom lift off, Aloe, Collagen, NRG",,11.75
,Banana Split,Regular,★ Most Popular,"topped with granola, banana, and sugar free Caramel, 24g protein",,11.78
,Fuzzy Navel,Regular,Lit Teas,"watermelon and pina colada flavoring, energy and metabolism booster teas, aloe for digestion, B1 B6 B12 Vitamin C tablet, and H3O for hydration and a citrus flavor",,10.36
,Hang Over Tea- HOT,Regular,Lit Teas,"Lemon tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Lil Red Corvette,Regular,Lit Teas,"Wild berry beverage mix, collagen, lemon tea, aloe for digestion, and prolessa",,14.50
,Mamacita,Regular,Lit Teas,"22g protein Wild berry and peach mango beverage mix, aloe for digestion, lime flavoring topped with cucumbers, chamoy, and tajin",,9.68
,Summer Breeze Protini,Regular,Lit Teas,"15g protein, B6 & B12",,9.00
,Sunset Splash Protini,Regular,Lit Teas,"15g protein, B6 & B12",,9.00
,Cotton Candy Lit tea,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,9.00
,Cucumber Margarita,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,9.00
,Island Cooler,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,9.00
,Saint Patty  March Menu,Regular,Lit Teas,"Collagen, liftoff, NRG, ALoe",,8.75
,Pot of Gold March Menu,Regular,Lit Teas,"Collagen, liftoff, NRG, ALoe",,8.75
,Rainbow Rush March menu,Regular,Lit Teas,"Rainbow Candy flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Over the Rainbow March Menu,Regular,Lit Teas,"Collagen, liftoff, NRG, ALoe",,8.75
,Emerald City March Menu,Regular,Lit Teas,"Collagen, liftoff, NRG, ALoe",,8.75
,Gold Digger March Menu,Regular,Lit Teas,"Collagen, liftoff, NRG, ALoe",,8.75
,Shadow Creek High Lit Tea,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Drago Fruit Beauty- Collagen,Regular,Lit Teas,"Collagen (for hair, skin, and nails) for a strawberry lemonade flavor, energy boosting tea, B1 B6 B12 Vitamin C tablet, and aloe for digestion",,8.75
,Turner High School Lit tea,Regular,Lit Teas,"32oz energy, mental focus, b6 and B 12, aloe",,8.75
,Pearland High Lit tea,Regular,Lit Teas,"watermelon and strawberry flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Dawson High Lit Tea,Regular,Lit Teas,"32oz energy, mental focus, b6 and B 12, aloe",,8.75
,Hibiscus NRG packet,Regular,Lit Teas,,,1.85
,Beaty Tea- Berry Bright Glow,Regular,Lit Teas,"Collage, Mental focus, Energy",,8.75
,Protini- Cucumber Breeze,Regular,Lit Teas,"Energy, mental focus, protein",,8.75
,Protini - Sexy Summer,Regular,Lit Teas,"Energy, Aloe, Protein",,8.75
,Cucumber - Margarita,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Summer Quench,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Egg Hunt Beauty Tea,Regular,Lit Teas,"Beauty, NRG, Lemon Tea, Aloe, Blue Raspberry, Watermelon",,8.75
,Bunny Trail Beauty Tea,Regular,Lit Teas,"collagen, NRG tea, Tea, Aloe, Blue raspberry, pina colada, coconut",,8.75
,Peter Cottontail Lit Tea,Regular,Lit Teas,"Rainbow, Orange- pina colada flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Bunny Hop Lit tea,Regular,Lit Teas,"Lime LO, lemon tea, nrg, Mango aloe , watermelon, Raspberry",,8.75
,Butterfly Kisses Protini,Regular,Lit Teas,"peach mango beverage mix, lime liftoff, aloe mango",,8.75
,Easter Basket Protini,Regular,Lit Teas,"peach mango beverage mix, Wild Berry Beverage mix , lime liftoff, aloe mango",,8.75
,Tea_Aloe_Fiber,Regular,Lit Teas,,,5.75
,Fly Eagles Fly,Regular,Lit Teas,Mega Tea,,8.75
,Chief Nation,Regular,Lit Teas,Mega Tea,,8.75
,Lets Go Chieeffs,Regular,Lit Teas,Mega TEA,,8.75
,Love Potion,Regular,Lit Teas,"White grape, cherry, watermelon lit tea",,8.75
,XOXO,Regular,Lit Teas,,,8.75
,Daisy Duke,Regular,Lit Teas,Protinini with a Liftoff,,11.50
,Winter Wonderland lit tea,Regular,Lit Teas,"Orange, LO, Lemon tea, NRG tea, Blue Blast, Cocnut",,8.75
,Secret Santa lit tea,Regular,Lit Teas,"Pomegranate LO, Lemon tea, NRG tea, Aloe,",,8.75
,Feliz Navidad  15g Protein,Regular,Lit Teas,"15g protein, aloe, white grape, cherry, NRG tea",,8.76
,Santa Baby  collagen,Regular,Lit Teas,"Collagen, Pomegranate LO, NRG tea, aloe, Strawberry, white grape",,8.75
,Jack Frost,Regular,Lit Teas,"nitework, lemon tea, NRG tea, aloe, blue blast, coconut",,8.75
,Strawberry Blitz,Regular,Lit Teas,"Pom Liftoff, collagen, aloe, Cr7",,8.75
,Kids Drink Blue Blast,Regular,Lit Teas,CR7 and blue blast flavoring,,3.25
,Kids Drink Grape,Regular,Lit Teas,CR7 and grape flavoring,,3.25
,Kids Drink Watermelon,Regular,Lit Teas,CR7 and watermelon flavoring,,3.25
,Texas Big Red,Regular,Lit Teas,"wild berry beverage mix, aloe for digestion, and tropical mango preworkout",,8.75
,Fish Bowl,Regular,Lit Teas,"Blue raspberry flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy tea, H3O for hydration and a citrus flavor, and Swedish fish",,8.75
,Wonder Woman,Regular,★ Most Popular,"Blue blast and watermelon flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Bikini In a Bottle  Protini,Regular,Lit Teas,"Aloe for digestion, lemon tea, wild berry beverage mix, and apple fiber",,8.75
,Peach Sangria,Regular,Lit Teas,"peach mango beverage mix, collagen (for hair, skin, and nails) to provide a strawberry lemonade flavor, aloe for digestion, and lemon tea",,8.75
,Strawberry Daiquiri,Regular,Lit Teas,"Collagen (for hair, skin, and nails) for a strawberry lemonade flavor, energy boosting tea, B1 B6 B12 Vitamin C tablet, and aloe for digestion",,8.75
,Strawberry Margarita,Regular,Lit Teas,"Collagen (for hair, skin, and nails) for a strawberry lemonade flavor, strawberry flavoring, energy boosting tea, B1 B6 B12 Vitamin C tablet, and aloe for digestion",,8.75
,Strawberry Sangria,Regular,Lit Teas,"wild berry beverage mix, collagen (for hair, skin, and nails) to provide a strawberry lemonade flavor, aloe for digestion, and lemon tea",,8.75
,Jelly Bean,Regular,Lit Teas,"Grape and watermelon flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Dragon Juice,Regular,Lit Teas,"Grape and blue blast flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Watacolada  Watermelon/ Pina colada,Regular,Lit Teas,"watermelon and pina colada flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Madori,Regular,Lit Teas,"Blue blast flavoring, energy and metabolism booster tea, aloe for digestion, and H3O for hydration and a citrus flavor",,8.75
,Sour Patch,Regular,Lit Teas,"Blue blast flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy tea, H3O for hydration and a citrus flavor",,8.75
,Jolly Rancher,Regular,Lit Teas,"Raspberry and blue raspberry flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Raspberry Sunrise,Regular,Lit Teas,"raspberry flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Purple Rain,Regular,Lit Teas,"Grape flavoring, energy tea, aloe for digestion, CR7 for hydration and berry flavoring, and a B1 B6 B12 Vitamin C tablet",,8.75
,Blue Pina Lit Tea,Regular,Lit Teas,"Blue blast and pina colada flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Purple Passion,Regular,Lit Teas,"Grape flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Cherry Limeade,Regular,Lit Teas,"cherry limeade and lime flavoring, energy and metabolism booster teas, aloe for digestion, B1 B6 B12 Vitamin C tablet, topped with cherries",,8.75
,Cosmo,Regular,Lit Teas,"Collagen for hair, skin, nails, and a strawberry lemonade flavor, B1 B6 B12 Vitamin C tablet, probiotic, and aloe for digestion",,8.75
,Green Apple,Regular,Lit Teas,"Green apple flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Green Shamrock,Regular,Lit Teas,"Blue blast flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Lucky Lit Tea,Regular,Lit Teas,"Green apple flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Mamba,Regular,Lit Teas,"Grape and watermelon flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy booster tea, and H3O for hydration",,8.75
,Blue Margarita,Regular,Lit Teas,"Blue raspberry, lime, and margarita flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy tea, and topped with tajin",,8.75
,Over The Rainbow,Regular,Lit Teas,"rainbow candy flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Cucumber and Watermelon,Regular,Lit Teas,"Cucumber and watermelon flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Pineapple Upside Down,Regular,★ Most Popular,"pina colada flavoring, cherry juice for flavor, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Pretty In Pink,Regular,Lit Teas,"rainbow candy flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Strawberry Sunrise,Regular,Lit Teas,"strawberry flavoring, energy tea, aloe for digestion, H3O for hydration and a citrus flavor, and a B1 B6 B12 Vitamin C tablet",,8.75
,Cherry bomb lit tea,Regular,Lit Teas,"CR7 pack, BlackBerry Spark , aloe",,8.75
,Orange/Pineapple Push Pop Lit🔥Tea,Regular,★ Most Popular,"Boost metabolism, hydration refresher",,8.75
,Cowabunga,Regular,Lit Teas,"Blue blast, green apple, and pina colada flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Crazy In Love,Regular,★ Most Popular,"Pom. L.O. , collagen, 2 scoop wild berry bev mix, 1/2 tsp Cherry flavoring, whipped cream",,8.75
,Poinsettia Punch Lit Tea,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Tigers blood,Regular,Lit Teas,"Pom. L.O. , collagen, 2 scoop wild berry bev mix, 1/2 tsp Cherry flavoring, 1/4 tsp NRG",,8.75
,Blue Lemonade,Regular,Lit Teas,"Lemon tea, aloe for digestion, collagen for hair skin and nails, and a B1 B6 B12 Vitamin C tablet, blue and lemonade flavors",,8.75
,Mimosa,Regular,Lit Teas,"H3O, 24 pineapple liftoff, aloe, sparking water",,8.75
,Blue Ocean,Regular,Lit Teas,"Lift off, H3O, NRG, blue blast",,8.75
,Island Girl,Regular,Lit Teas,"NRG tea, aloe for digestion, POM liftoff, CR7 for hydration, and orange pineapple flavoring",,8.75
,Arnold Palmer Lit Tea,Regular,Lit Teas,"Lime and lemon flavoring, B1 B6 B12 Vitamin C tablet, energy and metabolism teas, and aloe for digestion",,8.75
,Astros Lit Tea,Regular,Lit Teas,,,8.75
,Jello Shot,Regular,Lit Teas,Orange liftoff NRG,,1.00
,Daiquiri,Regular,Lit Teas,,,8.75
,Shirley Temple,Regular,Lit Teas,,,8.75
,Blue Cherry Lit tea,Regular,Lit Teas,"32oz energy, mental focus, b6 and B 12, aloe",,8.75
,In the Jungle,Regular,Lit Teas,,,8.75
,Elderberry Shot,Regular,Lit Teas,"Elderberry, vitamin D, zinc, vitamin C, acerola cherry, relishing mushrooms",,0.00
,Candy Apple,Regular,Lit Teas,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,8.75
,Harvest Punch,Regular,Lit Teas,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,8.75
,Hocus Pocus,Regular,Lit Teas,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,8.75
